年,縣市,新增通訊處數,累計通訊處數,年底人口,土地面積_km2,出生數,死亡數,戶數,納稅單位_戶,綜合所得總額_千元,人口密度_人每km2,平均戶量,粗出生率_千分比,粗死亡率_千分比,自然增加率_千分比,綜合所得平均數_千元,綜合所得中位數_千元,平均每戶消費支出_元,每萬人通訊處數
96,臺中市,4,115,,,,,,,,,,,,,,,745960,
96,臺北市,5,166,,,,,,,,,,,,,,,963713,
96,臺南市,2,63,,,,,,,,,,,,,,,650153,
96,臺東縣,0,13,,,,,,,,,,,,,,,518103,
96,花蓮縣,0,12,,,,,,,,,,,,,,,566608,
96,苗栗縣,0,19,,,,,,,,,,,,,,,637262,
96,連江縣,0,0,,,,,,,,,,,,,,,,
96,金門縣,0,3,,,,,,,,,,,,,,,,
96,雲林縣,0,16,,,,,,,,,,,,,,,501511,
96,高雄市,1,101,,,,,,,,,,,,,,,644730,
97,南投縣,0,18,,,,,,,,,,,,,,,579178,
97,嘉義市,1,14,,,,,,,,,,,,,,,564099,
97,嘉義縣,0,8,,,,,,,,,,,,,,,522575,
97,基隆市,0,9,,,,,,,,,,,,,,,643786,
97,宜蘭縣,1,19,,,,,,,,,,,,,,,630350,
97,屏東縣,0,29,,,,,,,,,,,,,,,542416,
97,彰化縣,2,44,,,,,,,,,,,,,,,596368,
97,新北市,0,82,,,,,,,,,,,,,,,751211,
97,新竹市,0,18,,,,,,,,,,,,,,,906743,
97,新竹縣,0,15,,,,,,,,,,,,,,,852056,
97,桃園市,0,67,,,,,,,,,,,,,,,748242,
97,澎湖縣,0,3,,,,,,,,,,,,,,,504364,
97,臺中市,2,117,,,,,,,,,,,,,,,717059,
97,臺北市,14,180,,,,,,,,,,,,,,,961630,
97,臺南市,2,65,,,,,,,,,,,,,,,639569,
97,臺東縣,1,14,,,,,,,,,,,,,,,425560,
97,花蓮縣,0,12,,,,,,,,,,,,,,,537914,
97,苗栗縣,0,19,,,,,,,,,,,,,,,586994,
97,連江縣,0,0,,,,,,,,,,,,,,,,
97,金門縣,0,3,,,,,,,,,,,,,,,,
97,雲林縣,0,16,,,,,,,,,,,,,,,459425,
97,高雄市,0,101,,,,,,,,,,,,,,,644122,
98,南投縣,1,19,,,,,,,,,,,,,,,650486,
98,嘉義市,5,19,,,,,,,,,,,,,,,549580,
98,嘉義縣,0,8,,,,,,,,,,,,,,,521999,
98,基隆市,1,10,,,,,,,,,,,,,,,701587,
98,宜蘭縣,1,20,,,,,,,,,,,,,,,639174,
98,屏東縣,2,31,,,,,,,,,,,,,,,547237,
98,彰化縣,2,46,,,,,,,,,,,,,,,590455,
98,新北市,3,85,,,,,,,,,,,,,,,749608,
98,新竹市,3,21,,,,,,,,,,,,,,,956498,
98,新竹縣,0,15,,,,,,,,,,,,,,,868677,
98,桃園市,10,77,,,,,,,,,,,,,,,742050,
98,澎湖縣,0,3,,,,,,,,,,,,,,,519810,
98,臺中市,14,131,,,,,,,,,,,,,,,680219,
98,臺北市,42,222,,,,,,,,,,,,,,,952723,
98,臺南市,14,79,,,,,,,,,,,,,,,624398,
98,臺東縣,1,15,,,,,,,,,,,,,,,483770,
98,花蓮縣,0,12,,,,,,,,,,,,,,,551512,
98,苗栗縣,1,20,,,,,,,,,,,,,,,608460,
98,連江縣,0,0,,,,,,,,,,,,,,,,
98,金門縣,0,3,,,,,,,,,,,,,,,,
98,雲林縣,1,17,,,,,,,,,,,,,,,482076,
98,高雄市,20,121,,,,,,,,,,,,,,,656155,
99,南投縣,0,19,,,,,,,,,,,,,,,637965,
